CR	RF	RF-CAT	SEXO	IDA-IN	IDA-SUP	IDA-MÉD	TC	NC	TO	ME	TC-NC-TO	TURNO	ANO	MAT	EVA	COM	TE
AMA		ND	M	45	49	47	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	1	0	100%
BRA	0,5	0,5	F	15	19	17	FIC	MFC	CON	P	FIC-MFC-CON	NOT	2017	1	0	1	0%
BRA	0,5	0,5	F	15	19	17	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	0	1	0%
BRA	0,5	0,5	F	15	19	17	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	2	0	2	0%
BRA	0,5	0,5	F	15	19	17	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
BRA	0,5	0,5	F	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	2	1	1	50%
BRA	0,5	0,5	F	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	2	0	2	0%
BRA	0,5	0,5	F	25	29	27	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	0	1	0%
BRA	0,5	0,5	F	30	34	32	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	2	1	1	50%
BRA	0,5	0,5	F	30	34	32	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	0	1	0%
BRA	0,5	0,5	F	35	39	37	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	0	1	0%
BRA	0,5	0,5	F	35	39	37	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	2	1	1	50%
BRA	0,5	0,5	F	45	49	47	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
BRA	0,5	0,5	F	45	49	47	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	0	1	0%
BRA	0,5	0,5	F	50	54	52	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
BRA	0,5	0,5	M	20	24	22	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	0	1	0%
BRA	0,5	0,5	M	20	24	22	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	0	1	0%
BRA	0,5	0,5	M	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	1	0	100%
BRA	0,5	0,5	M	25	29	27	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	0	1	0%
BRA	0,5	0,5	M	30	34	32	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	1	0	100%
BRA	0,5	0,5	M	40	44	42	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	1	0	100%
BRA	0,5	0,5	M	45	49	47	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	0	1	0%
BRA	0,5	0,5	M	55	59	57	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	0	1	0%
BRA	1	1	F	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	0	1	0%
BRA	1	1	F	40	44	42	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
BRA	1	1	F	45	49	47	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	0	1	0%
BRA	1	1	M	25	29	27	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	0	1	0%
BRA	1	1	M	30	34	32	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
BRA	1	1	M	35	39	37	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	0	1	0%
BRA	1	1	M	40	44	42	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	0	1	0%
BRA	1	1	M	40	44	42	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	0	1	0%
BRA	1	1	M	40	44	42	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	1	0	100%
BRA	1	1	M	45	49	47	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	0	1	0%
BRA	1	1	M	55	59	57	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
BRA	1,5	1,5	F	40	44	42	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	0	1	0%
BRA	1,5	1,5	M	45	49	47	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
BRA	2,5	2,5	M	20	24	22	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	0	1	0%
BRA	2,5	2,5	M	30	34	32	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
BRA	3,5	3,5	F	30	34	32	FIC	CTUCAL	CON	P	FIC-CTUCAL-CON	INT	2017	1	0	1	0%
BRA	3,5	3,5	F	30	34	32	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	0	1	0%
BRA	3,5	3,5	M	35	39	37	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	0	1	0%
BRA	5	5	M	40	44	42	FIC	PEP	CON	P	FIC-PEP-CON	NOT	2017	1	0	1	0%
BRA	5	5	M	60	64	62	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	0	1	0%
BRA		ND	F	15	19	17	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	2	2	0	100%
BRA		ND	F	15	19	17	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	6	3	3	50%
BRA		ND	F	20	24	22	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	2	2	0	100%
BRA		ND	F	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	3	1	2	33%
BRA		ND	F	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	6	6	0	100%
BRA		ND	F	25	29	27	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
BRA		ND	F	25	29	27	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	2	2	0	100%
BRA		ND	F	30	34	32	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
BRA		ND	F	30	34	32	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
BRA		ND	F	35	39	37	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	0	1	0%
BRA		ND	F	35	39	37	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	2	2	0	100%
BRA		ND	F	35	39	37	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	1	0	100%
BRA		ND	F	35	39	37	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
BRA		ND	F	40	44	42	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	1	0	100%
BRA		ND	F	40	44	42	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	0	1	0%
BRA		ND	F	45	49	47	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
BRA		ND	F	45	49	47	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	2	2	0	100%
BRA		ND	F	45	49	47	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
BRA		ND	F	50	54	52	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
BRA		ND	M	15	19	17	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	1	0	100%
BRA		ND	M	15	19	17	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	1	0	100%
BRA		ND	M	15	19	17	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	1	0	100%
BRA		ND	M	20	24	22	FIC	CTUCAL	CON	P	FIC-CTUCAL-CON	INT	2017	1	0	1	0%
BRA		ND	M	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	3	2	1	67%
BRA		ND	M	20	24	22	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	2	2	0	100%
BRA		ND	M	25	29	27	FIC	CTUCAL	CON	P	FIC-CTUCAL-CON	INT	2017	1	0	1	0%
BRA		ND	M	25	29	27	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	0	1	0%
BRA		ND	M	25	29	27	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	2	2	0	100%
BRA		ND	M	25	29	27	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	4	4	0	100%
BRA		ND	M	30	34	32	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	1	0	100%
BRA		ND	M	30	34	32	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	3	0	3	0%
BRA		ND	M	35	39	37	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	1	0	100%
BRA		ND	M	35	39	37	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	5	4	1	80%
BRA		ND	M	40	44	42	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	0	1	0%
BRA		ND	M	45	49	47	TÉC	TI	SUB	P	TÉC-TI-SUB	VES	2017	1	0	1	0%
BRA		ND	M	45	49	47	TÉC	TA	SUB	P	TÉC-TA-SUB	NOT	2017	1	1	0	100%
BRA		ND	M	50	54	52	FIC	ADS	CON	P	FIC-ADS-CON	INT	2017	1	1	0	100%
BRA		ND	M	55	59	57	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	1	0	100%
IND	0,5	0,5	F	20	24	22	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	1	0	100%
IND	0,5	0,5	M	25	29	27	FIC	CTUCAL	CON	P	FIC-CTUCAL-CON	INT	2017	1	1	0	100%
IND	0,5	0,5	M	25	29	27	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	0	1	0%
IND		ND	F	25	29	27	FIC	CTUCAL	CON	P	FIC-CTUCAL-CON	INT	2017	1	1	0	100%
IND		ND	M	35	39	37	FIC	CTUCAL	CON	P	FIC-CTUCAL-CON	INT	2017	2	2	0	100%
IND		ND	M	50	54	52	FIC	CTUCAL	CON	P	FIC-CTUCAL-CON	INT	2017	1	1	0	100%
PAR	0,5	0,5	F	15	19	17	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	0	1	0%
PAR	0,5	0,5	F	15	19	17	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	0	1	0%
PAR	0,5	0,5	F	15	19	17	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	1	0	100%
PAR	0,5	0,5	F	20	24	22	TÉC	GT	SUB	P	TÉC-GT-SUB	VES	2017	1	0	1	0%
PAR	0,5	0,5	F	20	24	22	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	2	0	2	0%
PAR	0,5	0,5	F	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	0	1	0%
PAR	0,5	0,5	F	20	24	22	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	7	3	4	43%
PAR	0,5	0,5	F	25	29	27	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	4	0	4	0%
PAR	0,5	0,5	F	25	29	27	TÉC	SJ	SUB	P	TÉC-SJ-SUB	NOT	2017	1	0	1	0%
PAR	0,5	0,5	F	25	29	27	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	0	1	0%
PAR	0,5	0,5	F	35	39	37	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	1	0	100%
PAR	0,5	0,5	F	40	44	42	TÉC	SJ	SUB	P	TÉC-SJ-SUB	VES	2017	1	0	1	0%
PAR	0,5	0,5	F	45	49	47	TÉC	PES	SUB	P	TÉC-PES-SUB	VES	2017	1	0	1	0%
