CR,RF,RF-CAT,SEXO,IDA-MÉD,TC,NC,TO,ME,TURNO,TC-NC-TO,NC-ME,NC-TURNO,ANO,AE
AMA,,ND,M,47.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,SIM
BRA,0.5,"0,5",F,17.0,FIC,MFC,CON,P,NOT,FIC-MFC-CON,MFC-P,MFC-NOT,2017,NÃO
BRA,0.5,"0,5",F,17.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2017,NÃO
BRA,0.5,"0,5",F,17.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,0.5,"0,5",F,17.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,0.5,"0,5",F,17.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
BRA,0.5,"0,5",F,22.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,NÃO
BRA,0.5,"0,5",F,22.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,SIM
BRA,0.5,"0,5",F,22.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,0.5,"0,5",F,22.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,0.5,"0,5",F,27.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,NÃO
BRA,0.5,"0,5",F,32.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,0.5,"0,5",F,32.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,0.5,"0,5",F,32.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,NÃO
BRA,0.5,"0,5",F,37.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2017,NÃO
BRA,0.5,"0,5",F,37.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,0.5,"0,5",F,37.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,0.5,"0,5",F,47.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
BRA,0.5,"0,5",F,47.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,NÃO
BRA,0.5,"0,5",F,52.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
BRA,0.5,"0,5",M,22.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2017,NÃO
BRA,0.5,"0,5",M,22.0,TÉC,PES,SUB,P,VES,TÉC-PES-SUB,PES-P,PES-VES,2017,NÃO
BRA,0.5,"0,5",M,22.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,SIM
BRA,0.5,"0,5",M,27.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,NÃO
BRA,0.5,"0,5",M,32.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,SIM
BRA,0.5,"0,5",M,42.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,SIM
BRA,0.5,"0,5",M,47.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,0.5,"0,5",M,57.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,1.0,1,F,22.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,1.0,1,F,42.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
BRA,1.0,1,F,47.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,1.0,1,M,27.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,NÃO
BRA,1.0,1,M,32.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
BRA,1.0,1,M,37.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2017,NÃO
BRA,1.0,1,M,42.0,TÉC,SJ,SUB,P,NOT,TÉC-SJ-SUB,SJ-P,SJ-NOT,2017,NÃO
BRA,1.0,1,M,42.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,1.0,1,M,42.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,SIM
BRA,1.0,1,M,47.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,1.0,1,M,57.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
BRA,1.5,"1,5",F,42.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,1.5,"1,5",M,47.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
BRA,2.5,"2,5",M,22.0,TÉC,TA,SUB,P,NOT,TÉC-TA-SUB,TA-P,TA-NOT,2017,NÃO
BRA,2.5,"2,5",M,32.0,TÉC,TI,SUB,P,VES,TÉC-TI-SUB,TI-P,TI-VES,2017,NÃO
BRA,3.5,"3,5",F,32.0,FIC,CTUCAL,CON,P,INT,FIC-CTUCAL-CON,CTUCAL-P,CTUCAL-INT,2017,NÃO
BRA,3.5,"3,5",F,32.0,TÉC,GT,SUB,P,VES,TÉC-GT-SUB,GT-P,GT-VES,2017,NÃO
BRA,3.5,"3,5",M,37.0,TÉC,SJ,SUB,P,VES,TÉC-SJ-SUB,SJ-P,SJ-VES,2017,NÃO
BRA,5.0,5,M,42.0,FIC,PEP,CON,P,NOT,FIC-PEP-CON,PEP-P,PEP-NOT,2017,NÃO
